area,ID,Longitude,Latitude,Slp_class,Slope_mean,Elv_class,Elevation_,ECO_NAME,G200_REGIO,_antropiza,HISTO_0,HISTO_1,HISTO_2,HISTO_3,total_pix,Natural,Agro,Urb,Other,Antro,Check
99926101.3,1760,-37.866154,-11.969304,Class2,13.13128504,1-Low Elevation,93.7911624,Bahia coastal forests,Atlantic Forests,0.628785706,50552,62107,37,1540,114236,0.443,0.544,0,0.013,0.557,1
99926101.3,8074,-38.250654,-12.354444,Class2,13.48350212,1-Low Elevation,94.46053883,Bahia coastal forests,Atlantic Forests,0.712295946,29529,84707,0,0,114236,0.258,0.742,0,0,0.742,1
99926101.3,2193,-36.038181,-9.64669,Class2,10.25813077,1-Low Elevation,94.52223913,Pernambuco coastal forests,Atlantic Forests,0.793330353,20882,93563,0,0,114445,0.182,0.818,0,0,0.818,1
99926101.3,1734,-38.410845,-12.470849,Class2,13.16405256,1-Low Elevation,94.86389288,Bahia coastal forests,Atlantic Forests,0.650778653,37872,76363,0,0,114235,0.332,0.668,0,0,0.668,1
99926101.3,13037,-37.558576,-11.115583,Class2,11.64050125,1-Low Elevation,95.14741206,Pernambuco interior forests,Atlantic Forests,0.889291951,17576,96079,582,0,114237,0.154,0.841,0.005,0,0.846,1
99926101.3,9816,-40.002149,-18.085153,Class1,4.553618313,1-Low Elevation,95.27072251,Bahia coastal forests,Atlantic Forests,0.917419583,7170,107065,0,0,114235,0.063,0.937,0,0,0.937,1
99926101.3,1601,-51.861639,-29.562341,Class1,9.021846085,1-Low Elevation,95.54639907,Alto Paraná Atlantic forests,Atlantic Forests,0.804187722,16619,95241,2376,0,114236,0.145,0.834,0.021,0,0.855,1
99926101.3,8934,-52.460172,-29.679278,Class2,10.58820937,1-Low Elevation,95.71269382,Alto Paraná Atlantic forests,Atlantic Forests,0.523486139,44173,51370,18693,0,114236,0.387,0.45,0.164,0,0.613,1.001
99926101.3,11510,-49.703462,-28.811231,Class2,12.47084918,1-Low Elevation,95.85947419,Serra do Mar coastal forests,Atlantic Forests,0.697503733,34324,78977,935,0,114236,0.3,0.691,0.008,0,0.7,0.999
99926101.3,10860,-39.310483,-15.987527,Class2,10.16858236,1-Low Elevation,95.86649537,Bahia coastal forests,Atlantic Forests,0.690600324,35199,79037,0,0,114236,0.308,0.692,0,0,0.692,1
99926101.3,5019,-35.044349,-7.798387,Class2,17.0578736,1-Low Elevation,95.89504614,Pernambuco coastal forests,Atlantic Forests,0.711353513,29502,82606,2127,0,114235,0.258,0.723,0.019,0,0.742,1
99926101.3,9379,-40.142939,-18.38175,Class1,7.314971876,1-Low Elevation,95.91201062,Bahia coastal forests,Atlantic Forests,0.822776587,21841,92377,0,18,114236,0.191,0.809,0,0,0.809,1
99926101.3,10935,-35.52861,-9.037782,Class2,18.01032639,1-Low Elevation,96.16022598,Pernambuco coastal forests,Atlantic Forests,0.92987059,7877,106569,0,0,114446,0.069,0.931,0,0,0.931,1
99926101.3,8234,-40.086417,-18.141633,Class1,8.246160697,1-Low Elevation,96.22096281,Bahia coastal forests,Atlantic Forests,0.930434636,9505,104940,0,0,114445,0.083,0.917,0,0,0.917,1
99926101.3,6409,-41.673562,-21.388545,Class3,22.67250209,1-Low Elevation,96.57186698,Bahia interior forests,Atlantic Forests,0.908113854,12630,98450,2877,280,114237,0.111,0.862,0.025,0.002,0.889,1
99926101.3,11586,-35.049086,-7.264119,Class1,6.324603786,1-Low Elevation,96.59771876,Pernambuco interior forests,Atlantic Forests,0.807410344,24564,89010,662,0,114236,0.215,0.779,0.006,0,0.785,1
99926101.3,1813,-39.202621,-15.503967,Class2,13.09192388,1-Low Elevation,96.60786816,Bahia coastal forests,Atlantic Forests,0.474915005,56172,57962,101,0,114235,0.492,0.507,0.001,0,0.508,1
99926101.3,1855,-36.022417,-9.740576,Class1,6.719086975,1-Low Elevation,96.65332964,Pernambuco coastal forests,Atlantic Forests,0.859100035,15049,99135,52,0,114236,0.132,0.868,0,0,0.868,1
99926101.3,7144,-38.010869,-12.179456,Class2,14.59096387,1-Low Elevation,97.18261339,Bahia coastal forests,Atlantic Forests,0.695932038,34332,79904,0,0,114236,0.301,0.699,0,0,0.699,1
99926101.3,3874,-48.625713,-25.33454,Class3,20.36853883,1-Low Elevation,97.25362389,Serra do Mar coastal forests,Atlantic Forests,0.055282783,108818,5418,0,0,114236,0.953,0.047,0,0,0.047,1
99926101.3,5217,-39.722459,-17.49108,Class2,11.59264253,1-Low Elevation,97.40791765,Bahia coastal forests,Atlantic Forests,0.932265303,8698,93929,11398,212,114237,0.076,0.822,0.1,0.002,0.924,1
99926101.3,636,-48.968161,-26.969544,Class3,24.23183231,1-Low Elevation,97.44209139,Serra do Mar coastal forests,Atlantic Forests,0.50685024,57523,42891,13821,0,114235,0.504,0.375,0.121,0,0.496,1
99926101.3,6487,-39.256455,-15.745832,Class2,14.56261018,1-Low Elevation,97.47656152,Bahia coastal forests,Atlantic Forests,0.548883471,47422,66815,0,0,114237,0.415,0.585,0,0,0.585,1
99926101.3,7844,-39.931991,-17.936746,Class1,5.535213515,1-Low Elevation,97.57713912,Bahia coastal forests,Atlantic Forests,0.915874368,9823,104366,48,0,114237,0.086,0.914,0,0,0.914,1
99926101.3,6789,-39.638759,-17.434347,Class1,7.554445421,1-Low Elevation,97.87631296,Bahia coastal forests,Atlantic Forests,0.855697847,17009,97358,79,0,114446,0.149,0.851,0.001,0,0.851,1.001
99926101.3,10503,-42.991165,-22.909629,Class3,23.47280548,1-Low Elevation,98.08928642,Serra do Mar coastal forests,Atlantic Forests,0.558057332,50914,32061,30525,947,114447,0.445,0.28,0.267,0.008,0.555,1
99926101.3,6687,-39.792146,-17.63971,Class1,9.41751304,1-Low Elevation,98.20770461,Bahia coastal forests,Atlantic Forests,0.881523225,14392,99844,0,0,114236,0.126,0.874,0,0,0.874,1
99926101.3,4134,-39.708323,-17.583029,Class1,6.077820756,1-Low Elevation,99.28374213,Bahia coastal forests,Atlantic Forests,0.865711683,15425,84449,14572,0,114446,0.135,0.738,0.127,0,0.865,1
99926101.3,1451,-36.865174,-10.490187,Class1,7.576123642,1-Low Elevation,99.44547008,Pernambuco interior forests,Atlantic Forests,0.903650337,12298,101434,504,0,114236,0.108,0.888,0.004,0,0.892,1
