area,ID,Longitude,Latitude,Slope_mean,Elevation_,ECO_NAME,G200_REGIO,_antropiza
99926101.3,5524,-45.187254,-21.390453,15.45068477,907.4589261,Alto Parana Atlantic forests,Atlantic Forests,0.77335808
99926101.3,5527,-46.880145,-21.522827,15.51239069,834.5926148,Alto Parana Atlantic forests,Atlantic Forests,0.868363998
99926101.3,5551,-46.775436,-22.532449,14.60616985,728.2226116,Alto Parana Atlantic forests,Atlantic Forests,0.872561922
99926101.3,5588,-45.658335,-22.261996,17.99735454,889.6076395,Alto Parana Atlantic forests,Atlantic Forests,0.847388135
99926101.3,5595,-46.206499,-21.610944,15.81284955,933.0298515,Alto Parana Atlantic forests,Atlantic Forests,0.860279913
99926101.3,5620,-45.375178,-21.405952,15.49608371,961.1615857,Alto Parana Atlantic forests,Atlantic Forests,0.855590612
99926101.3,5658,-45.937164,-22.330263,14.03119013,879.3877123,Alto Parana Atlantic forests,Atlantic Forests,0.875531484
99926101.3,5664,-46.335125,-21.296848,16.42765848,854.3067978,Alto Parana Atlantic forests,Atlantic Forests,0.9124478
99926101.3,5683,-46.503648,-21.494795,22.61157115,942.5814743,Alto Parana Atlantic forests,Atlantic Forests,0.82586028
99926101.3,5731,-45.269276,-22.323094,35.1824241,1425.234929,Alto Parana Atlantic forests,Atlantic Forests,0.621074338
99926101.3,5736,-46.669707,-20.812936,17.62321631,887.7913026,Alto Parana Atlantic forests,Atlantic Forests,0.760182561
99926101.3,5737,-45.720352,-21.711653,12.4482087,842.1622187,Alto Parana Atlantic forests,Atlantic Forests,0.847782071
99926101.3,5746,-46.756219,-22.715912,21.55492822,787.9647033,Alto Parana Atlantic forests,Atlantic Forests,0.823459936
99926101.3,5758,-46.621826,-21.272296,21.89624297,995.3368303,Alto Parana Atlantic forests,Atlantic Forests,0.779046028
99926101.3,5796,-46.216426,-21.519152,14.98611969,855.8279733,Alto Parana Atlantic forests,Atlantic Forests,0.883918102
99926101.3,5809,-44.679118,-21.671827,18.1721247,1090.398067,Alto Parana Atlantic forests,Atlantic Forests,0.671869068
99926101.3,5826,-45.727135,-22.498749,26.2445564,985.2823272,Alto Parana Atlantic forests,Atlantic Forests,0.733652784
99926101.3,5850,-47.114837,-21.077212,10.03159407,889.6775375,Alto Parana Atlantic forests,Atlantic Forests,0.900873996
99926101.3,5853,-45.850271,-21.397942,10.38254263,798.6778143,Alto Parana Atlantic forests,Atlantic Forests,0.712182694
99926101.3,5857,-46.463123,-20.982546,17.58986477,1046.837548,Alto Parana Atlantic forests,Atlantic Forests,0.851362866
99926101.3,5867,-46.146636,-22.161507,22.73065428,962.9129972,Alto Parana Atlantic forests,Atlantic Forests,0.802532564
99926101.3,5883,-47.124073,-20.985314,13.25931302,904.6915427,Alto Parana Atlantic forests,Atlantic Forests,0.83041725
99926101.3,5901,-46.653454,-21.876132,18.94847,1293.502198,Alto Parana Atlantic forests,Atlantic Forests,0.733464939
99926101.3,5937,-46.650596,-20.996712,15.10146143,974.8582241,Alto Parana Atlantic forests,Atlantic Forests,0.847928056
99926101.3,5965,-46.794598,-22.348956,16.44446492,688.6329268,Alto Parana Atlantic forests,Atlantic Forests,0.855799082
99926101.3,5966,-47.034961,-20.932553,13.93810966,937.4379505,Alto Parana Atlantic forests,Atlantic Forests,0.837753931
99926101.3,5979,-45.19072,-22.177813,31.89329422,1185.98692,Alto Parana Atlantic forests,Atlantic Forests,0.721612
99926101.3,5986,-46.777524,-20.682068,11.37327128,731.6018133,Alto Parana Atlantic forests,Atlantic Forests,0.86574884
99926101.3,5999,-45.926971,-22.421967,16.39681317,896.4988912,Alto Parana Atlantic forests,Atlantic Forests,0.849091047
99926101.3,6028,-46.960215,-21.667456,10.87917322,713.3200868,Alto Parana Atlantic forests,Atlantic Forests,0.883435272
99926101.3,6035,-45.816801,-22.552075,28.5454404,1041.449543,Alto Parana Atlantic forests,Atlantic Forests,0.823452989
99926101.3,6048,-45.531937,-21.696521,16.93835791,914.0845604,Alto Parana Atlantic forests,Atlantic Forests,0.909151496
99926101.3,6075,-45.890847,-21.030701,9.677807643,803.9395312,Alto Parana Atlantic forests,Atlantic Forests,0.64832328
99926101.3,6077,-46.624492,-22.151454,20.47669112,967.8584817,Alto Parana Atlantic forests,Atlantic Forests,0.858490248
99926101.3,6102,-46.865565,-22.585252,12.32172809,713.7637951,Alto Parana Atlantic forests,Atlantic Forests,0.900308767
99926101.3,6113,-46.157193,-21.190532,16.59827198,881.6359078,Alto Parana Atlantic forests,Atlantic Forests,0.875776136
99926101.3,6131,-45.7614,-21.344573,10.1695372,806.7022802,Alto Parana Atlantic forests,Atlantic Forests,0.776253628
99926101.3,6137,-45.458589,-22.338491,28.04494922,952.1708444,Alto Parana Atlantic forests,Atlantic Forests,0.855242474
99926101.3,6141,-46.61481,-22.243211,22.65336156,988.2627933,Alto Parana Atlantic forests,Atlantic Forests,0.778372997
99926101.3,6149,-46.096352,-22.62008,26.31676214,1027.273796,Alto Parana Atlantic forests,Atlantic Forests,0.84029055
99926101.3,6155,-46.296156,-22.542897,20.87243292,1384.051532,Alto Parana Atlantic forests,Atlantic Forests,0.830280841
99926101.3,6281,-46.67572,-22.571333,27.14309708,884.5881112,Alto Parana Atlantic forests,Atlantic Forests,0.803597189
99926101.3,6298,-46.515271,-22.282016,14.73432311,878.4146449,Alto Parana Atlantic forests,Atlantic Forests,0.848618551
99926101.3,6324,-46.739595,-21.049661,15.53586216,1031.03163,Alto Parana Atlantic forests,Atlantic Forests,0.890227441
99926101.3,6330,-44.921709,-21.229217,15.11456333,893.4312837,Alto Parana Atlantic forests,Atlantic Forests,0.801930166
99926101.3,6335,-46.414437,-21.441756,23.08976188,1024.186348,Alto Parana Atlantic forests,Atlantic Forests,0.819665078
99926101.3,6349,-46.997695,-21.300087,9.996575768,673.0793013,Alto Parana Atlantic forests,Atlantic Forests,0.919265033
99926101.3,6385,-45.297065,-21.260581,16.39535189,882.1146135,Alto Parana Atlantic forests,Atlantic Forests,0.86627804
99926101.3,6391,-46.63416,-22.059688,19.75487088,971.2684932,Alto Parana Atlantic forests,Atlantic Forests,0.81389463
99926101.3,6401,-44.468519,-21.838948,19.80231896,1063.352778,Alto Parana Atlantic forests,Atlantic Forests,0.685417809
99926101.3,6421,-46.785024,-22.440706,11.92938208,660.2730869,Alto Parana Atlantic forests,Atlantic Forests,0.924317974
99926101.3,6443,-46.306091,-22.451181,23.73386676,1301.236903,Alto Parana Atlantic forests,Atlantic Forests,0.84107908
99926101.3,6449,-45.322417,-21.864636,17.33321693,941.5865732,Alto Parana Atlantic forests,Atlantic Forests,0.853615327
99926101.3,6495,-45.212112,-21.99444,26.90970722,1047.945141,Alto Parana Atlantic forests,Atlantic Forests,0.660204495
99926101.3,6497,-46.476103,-22.648933,24.35414947,1040.623098,Alto Parana Atlantic forests,Atlantic Forests,0.894292825
99926101.3,6520,-45.679067,-22.078583,14.67100168,862.6170095,Alto Parana Atlantic forests,Atlantic Forests,0.856642708
